TABLE_TITLE,OCTET_NO,CONTENU
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",15,Forme de la Terre (voir la table de code 3.2)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",16,Facteur d'échelle du rayon de la Terre sphérique
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",17-20,Valeur ajustée du rayon de la Terre sphérique
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",21,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",22-25,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",26,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",27-30,Valeur ajustée du petit axe de la Terre ellipsoïdale aplatie
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",31-34,Ni - nombre de points le long d'un parallèle
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",35-38,Nj - nombre de points le long d'un méridien
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",39-42,Angle de base du domaine de production initial (voir la note 1)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",43-46,Subdivisions de l'angle de base utilisées pour indiquer les longitudes et latitudes extrêmes et les incréments de direction (voir la note 1)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",47-50,La1 - latitude du premier point de la grille (voir la note 1)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",51-54,Lo1 - longitude du premier point de la grille (voir la note 1)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",55,Indicateurs de résolution et de composantes (voir la table d'indicateurs 3.3)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",56-59,La2 - latitude du dernier point de la grille (voir la note 1)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",60-63,Lo2 - longitude du dernier point de la grille (voir la note 1)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",64-67,Di - incrément de la direction i (voir les notes 1 et 5)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",68-71,Dj - incrément de la direction j (voir les notes 1 et 5)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",72,Mode d'exploration (indicateurs – voir la table d'indicateurs 3.4)
"Modèle de définition de la grille 3.0 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée)",73-nn,Liste de nombre de points le long de chaque méridien ou parallèle (ces octets ne s'appliquent qu'aux grilles quasi régulières dont il est question dans les notes 2 et 3)
"Modèle de définition de la grille 3.1 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après rotation",15-72,Voir modèle de définition de la grille 3.0 (voir note 1)
"Modèle de définition de la grille 3.1 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après rotation",73-76,Latitude du pôle Sud de la projection
"Modèle de définition de la grille 3.1 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après rotation",77-80,Longitude du pôle Sud de la projection
"Modèle de définition de la grille 3.1 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après rotation",81-84,Angle de rotation de la projection
"Modèle de définition de la grille 3.1 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après rotation",85-nn,Liste de nombre de points le long de chaque méridien ou parallèle (ces octets ne s'appliquent qu'aux grilles quasi régulières dont il est question dans la note 3)
"Modèle de définition de la grille 3.2 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation",15-72,Voir modèle de définition de la grille 3.0 (voir note 1)
"Modèle de définition de la grille 3.2 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation",73-76,Latitude du pôle de dilatation
"Modèle de définition de la grille 3.2 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation",77-80,Longitude du pôle de dilatation
"Modèle de définition de la grille 3.2 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation",81-84,Facteur de dilatation
"Modèle de définition de la grille 3.2 — Grille latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation",85-nn,Liste de nombre de points le long de chaque méridien ou parallèle (ces octets ne s'appliquent qu'aux grilles quasi régulières dont il est question dans la note 3)
"Modèle de définition de la grille 3.3 — Projection latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation et rotation",15-72,Voir modèle de définition de la grille 3.0 (voir note 1)
"Modèle de définition de la grille 3.3 — Projection latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation et rotation",73-76,Latitude du pôle Sud de la projection
"Modèle de définition de la grille 3.3 — Projection latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation et rotation",77-80,Longitude du pôle Sud de la projection
"Modèle de définition de la grille 3.3 — Projection latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation et rotation",81-84,Angle de rotation de la projection
"Modèle de définition de la grille 3.3 — Projection latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation et rotation",85-88,Latitude du pôle de dilatation
"Modèle de définition de la grille 3.3 — Projection latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation et rotation",89-92,Longitude du pôle de dilatation
"Modèle de définition de la grille 3.3 — Projection latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation et rotation",93-96,Facteur de dilatation
"Modèle de définition de la grille 3.3 — Projection latitude/longitude (ou équidistante cylindrique, ou Plate Carrée) après dilatation et rotation",97-nn,Liste de nombre de points le long de chaque méridien ou parallèle (ces octets ne s'appliquent qu'aux grilles quasi régulières dont il est question dans la note 4)
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,15,Forme de la Terre (voir la table de code 3.2)
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,16,Facteur d'échelle du rayon de la Terre sphérique
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,17-20,Valeur ajustée du rayon de la Terre sphérique
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,21,Facteur d'échelle du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,22-25,Valeur ajustée du grand axe de la Terre ellipsoïdale aplatie
Modèle de définition de la grille 3.4 — Grille latitude/longitude de résolution variable,26,Facteur d'échelle du petit axe de la Terre ellipsoïdale aplatie
