TABLE TITLE,CHIFFRE DU CODE,NUMÉRO DE BIT,VALEUR,SIGNIFICATION,REMARQUES,UNITÉ
Table de code 1.0 – Numéro de version des tables principales du code GRIB,0,,,À usage expérimental,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,1,,,Version entrée en vigueur le 7 novembre 2001,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,2,,,Version entrée en vigueur le 4 novembre 2003,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,3,,,Version entrée en vigueur le 2 novembre 2005,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,4,,,Version entrée en vigueur le 7 novembre 2007,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,5,,,Version entrée en vigueur le 4 novembre 2009,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,6,,,Version entrée en vigueur le 15 septembre 2010,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,7,,,Version entrée en vigueur le 4 mai 2011,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,8,,,Version entrée en vigueur le 2 novembre 2011,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,9,,,Version entrée en vigueur le 2 mai 2012,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,10,,,Version entrée en vigueur le 7 novembre 2012,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,11,,,Version entrée en vigueur le 8 mai 2013,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,12,,,Version entrée en vigueur le 14 novembre 2013,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,13,,,Version entrée en vigueur le 7 mai 2014,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,14,,,Version entrée en vigueur le 5 novembre 2014,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,15,,,Version entrée en vigueur le 6 mai 2015,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,16,,,Version entrée en vigueur le 11 novembre 2015,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,17,,,Version entrée en vigueur le 4 mai 2016,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,18,,,Version entrée en vigueur le 2 novembre 2016,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,19,,,Version entrée en vigueur le 3 mai 2017,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,20,,,Version entrée en vigueur le 8 novembre 2017,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,21,,,Version entrée en vigueur le 2 mai 2018,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,22,,,Version entrée en vigueur le 7 novembre 2018,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,23,,,Version en préexploitation devant entrer en vigueur avec le prochain amendement,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,24-254,,,Versions futures,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.0 – Numéro de version des tables principales du code GRIB,255,,,Valeur manquante,NOTE: Cette table de code est obsolète. Veuillez-vous référer à la table de code commune C-0.,
Table de code 1.1 – Numéro de version des tables locales du code GRIB,0,,,Aucune table locale utilisée. Seules les données des tables et des modèles de la présente table principale sont valables,,
Table de code 1.1 – Numéro de version des tables locales du code GRIB,1-254,,,Numéro de version des tables locales utilisées,,
Table de code 1.1 – Numéro de version des tables locales du code GRIB,255,,,Valeur manquante,,
Table de code 1.2 – Signification de l'heure de référence,0,,,Analyse,,
Table de code 1.2 – Signification de l'heure de référence,1,,,Début de la prévision,,
Table de code 1.2 – Signification de l'heure de référence,2,,,Heure de vérification de la prévision,,
Table de code 1.2 – Signification de l'heure de référence,3,,,Heure de l'observation,,
Table de code 1.2 – Signification de l'heure de référence,4-191,,,En réserve,,
Table de code 1.2 – Signification de l'heure de référence,192-254,,,En réserve pour un usage local,,
Table de code 1.2 – Signification de l'heure de référence,255,,,Valeur manquante,,
Table de code 1.3 – État des données,0,,,Produits opérationnels,,
Table de code 1.3 – État des données,1,,,Produits d'essai opérationnels,,
Table de code 1.3 – État des données,2,,,Produits expérimentaux,,
Table de code 1.3 – État des données,3,,,Produits de réanalyse,,
Table de code 1.3 – État des données,4,,,Grand ensemble interactif mondial relevant du programme THORPEX (TIGGE),,
Table de code 1.3 – État des données,5,,,Test du Grand ensemble interactif mondial relevant du programme THORPEX (TIGGE),,
Table de code 1.3 – État des données,6,,,Produits opérationnels S2S,,
Table de code 1.3 – État des données,7,,,Produits d'essai S2S,,
Table de code 1.3 – État des données,8,,,Incertitudes dans les ensembles utilisés dans le cadre du projet de réanalyses à l'échelle régionale (UERRA),,
Table de code 1.3 – État des données,9,,,Vérification des incertitudes dans les ensembles utilisés dans le cadre du projet de réanalyses à l'échelle régionale (UERRA),,
Table de code 1.3 – État des données,10-191,,,En réserve,,
Table de code 1.3 – État des données,192-254,,,En réserve pour un usage local,,
Table de code 1.3 – État des données,255,,,Valeur manquante,,
Table de code 1.4 – Type de données,0,,,Analyse,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,1,,,Prévision,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,2,,,Analyse et prévision,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,3,,,Prévision de contrôle,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,4,,,Prévision «perturbée»,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,5,,,Prévision de contrôle et prévision «perturbée»,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,6,,,Observations par satellites après traitement,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,7,,,Observations radar après traitement,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,8,,,Probabilité d'occurrence d'un phénomène,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,9-191,,,En réserve,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,192-254,,,En réserve pour un usage local,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.4 – Type de données,255,,,Valeur manquante,NOTE: Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,
Table de code 1.5 – Numéro de modèle d'identification,0,,,Définition du calendrier,,
Table de code 1.5 – Numéro de modèle d'identification,1,,,Décalage paléontologique,,
