TABLE_TITLE,OCTET_NO,CONTENU
Modèle des données 7.0 — Données aux points de grille — compression simple,6-nn,"Données binaires — chaîne binaire, pour chaque valeur (ajustée)"
Modèle des données 7.1 — Matrices aux points de grille — compression simple,6-nn,"Données binaires — chaîne binaire, pour chaque valeur (ajustée)"
Modèle des données 7.2 — Données aux points de grille — compression complexe,6-xx,"Valeurs de référence des NG groupes (X1 dans la formule de décodage), chacune de ces valeurs étant codée sur le nombre de bits spécifié à l'octet 20 du modèle de représentation des données 5.0. Il convient d'ajouter le nombre nécessaire de bits mis à 0 pour que la suite de nombres se termine à la fin d'un octet."
Modèle des données 7.2 — Données aux points de grille — compression complexe,[xx+1]-yy,"Largeurs des NG groupes, chacune de ces largeurs étant codée sur le nombre de bits spéci- fié à l'octet 37 du modèle de représentation des données 5.2. II convient d'ajouter le nombre nécessaire de bits mis à 0 pour que la suite de nombres se termine à la fin d'un octet."
Modèle des données 7.2 — Données aux points de grille — compression complexe,[yy+1]-zz,"Longueurs ajustées des NG groupes, chacune de ces longueurs étant codée sur le nombre de bits spécifié à l'octet 47 du modèle de représentation des données 5.2. Il convient d'ajouter le nombre nécessaire de bits mis à 0 pour que la suite de nombres se termine à la fin d'un octet (voir la note 14 du modèle de représentation des données 5.2)."
Modèle des données 7.2 — Données aux points de grille — compression complexe,[zz+1]-nn,"Valeurs comprimées (X2 dans la formule de décodage), chaque valeur correspondant à un écart par rapport à la valeur de référence de son groupe."
Modèle des données 7.3 — Données aux points de grille — compression complexe et différenciation spatiale,6-ww,"Première(s) valeur(s) parmi les valeurs ajustées des données (sans différenciation), suivie(s) par le minimum absolu des différences. Le nombre de valeurs enregistrées est égal à l'ordre de différenciation plus 1 et la largeur du champ est indiquée par l'octet 49 du modèle de représentation des données 5.3 (voir la note 1)"
Modèle des données 7.3 — Données aux points de grille — compression complexe et différenciation spatiale,[ww+1]-xx,"Valeurs de référence des NG groupes (X1 dans la formule de décodage), chacune de ces valeurs étant codée sur le nombre de bits spécifié à l'octet 20 du modèle de représentation des données 5.0. Il convient d'ajouter le nombre nécessaire de bits mis à 0 pour que la suite de nombres se termine à la fin d'un octet."
Modèle des données 7.3 — Données aux points de grille — compression complexe et différenciation spatiale,[xx+1]-nn,Voir le modèle de représentation des données 7.2.
Modèle des données 7.4 — Données aux points de grille — données en virgule flottante IEEE,6-nn,Données binaires
Modèle des données 7.40 – Données aux points de grille — flux de données en format JPEG 2000,6-nn,Flux de données en format JPEG 2000 tel qu'il est décrit dans la partie 1 de la norme JPEG 2000 (ISO/IEC 15444-1:2000)
Modèle des données 7.41 — Données aux points de grille — format PNG (Portable Network Graphics – graphique réseau portable),6-nn,Image au format PNG
Modèle des données 7.42 — Données aux points de grille et données spectrales – Compression sans perte de données recommandée par le CCSDS,6-nn,Norme recommandée par le CCSDS pour le code de compression sans perte de données
Modèle des données 7.50 — Données spectrales – compression simple,6-nn,"Données binaires — chaîne binaire, pour chaque valeur (ajustée)"
Modèle des données 7.51 — Harmoniques sphériques — compression complexe,6-(5+IxTs),Données tirées de la sous-série non compressée (valeurs en virgule flottante IEEE sur I octets)
Modèle des données 7.51 — Harmoniques sphériques — compression complexe,(6+IxTs)-nn,"Données binaires — chaîne binaire, pour chaque valeur (ajustée) en dehors de la sous-série non compressée"
Modèle des données 7.53 — Données spectrales pour les modèles à domaine limité – compression complexe,6-(5+IxTs),Données tirées de la sous-série non compressée (valeurs en virgule flottante IEEE sur I octets)
Modèle des données 7.53 — Données spectrales pour les modèles à domaine limité – compression complexe,(6+IxTs)-nn,"Données binaires — chaîne binaire, pour chaque valeur (ajustée) en dehors de la sous-série non compressée"
