TABLE TITLE,CHIFFRE DU CODE,NUMÉRO DE BIT,VALEUR,SIGNIFICATION,REMARQUES,UNITÉ
Table de code 5.0 – Numéro du modèle de représentation des données,0,,,Données aux points de grille - compression simple,,
Table de code 5.0 – Numéro du modèle de représentation des données,1,,,Matrices - compression simple,,
Table de code 5.0 – Numéro du modèle de représentation des données,2,,,Données aux points de grille - compression complexe,,
Table de code 5.0 – Numéro du modèle de représentation des données,3,,,Données aux points de grille - compression complexe et différenciation spatiale,,
Table de code 5.0 – Numéro du modèle de représentation des données,4,,,Données aux points de grille - données en virgule flottante IEEE,,
Table de code 5.0 – Numéro du modèle de représentation des données,5-39,,,En réserve,,
Table de code 5.0 – Numéro du modèle de représentation des données,40,,,Données aux points de grille - flux de données en format JPEG 2000,,
Table de code 5.0 – Numéro du modèle de représentation des données,41,,,Données aux points de grille – format PNG (Portable Network Graphics - graphique réseau portable),,
Table de code 5.0 – Numéro du modèle de représentation des données,42,,,Données aux points de grille et données spectrales - Compression sans perte de données recommandée par la CCSDS,,
Table de code 5.0 – Numéro du modèle de représentation des données,43-49,,,En réserve,,
Table de code 5.0 – Numéro du modèle de représentation des données,50,,,Données spectrales - compression simple,,
Table de code 5.0 – Numéro du modèle de représentation des données,51,,,Données spectrales - compression complexe,,
Table de code 5.0 – Numéro du modèle de représentation des données,52,,,En réserve,,
Table de code 5.0 – Numéro du modèle de représentation des données,53,,,Données spectrales pour les modèles à domaine limité - compression complexe,,
Table de code 5.0 – Numéro du modèle de représentation des données,54-60,,,En réserve,,
Table de code 5.0 – Numéro du modèle de représentation des données,61,,,Données aux points de grille - compression simple après traitement logarithmique,,
Table de code 5.0 – Numéro du modèle de représentation des données,62-199,,,En réserve,,
Table de code 5.0 – Numéro du modèle de représentation des données,200,,,Compression en longueur de ligne avec des valeurs de niveau,,
Table de code 5.0 – Numéro du modèle de représentation des données,201-49151,,,En réserve,,
Table de code 5.0 – Numéro du modèle de représentation des données,49152-65534,,,En réserve pour un usage local,,
Table de code 5.0 – Numéro du modèle de représentation des données,65535,,,Valeur manquante,,
Table de code 5.1 – Type des valeurs du champ d'origine,0,,,Virgule flottante,,
Table de code 5.1 – Type des valeurs du champ d'origine,1,,,Entier,,
Table de code 5.1 – Type des valeurs du champ d'origine,2-191,,,En réserve,,
Table de code 5.1 – Type des valeurs du champ d'origine,192-254,,,En réserve pour un usage local,,
Table de code 5.1 – Type des valeurs du champ d'origine,255,,,Valeur manquante,,
Table de code 5.2 – Définition de la fonction des coordonnées matricielles,0,,,Jeu de coordonnées explicites,,
Table de code 5.2 – Définition de la fonction des coordonnées matricielles,1,,,Coordonnées linéaires f(1) = C1 f(n) = f (n-1) + C2,,
Table de code 5.2 – Définition de la fonction des coordonnées matricielles,2-10,,,En réserve,,
Table de code 5.2 – Définition de la fonction des coordonnées matricielles,11,,,Coordonnées géométriques f(1) = C1 f(n) = C2 x f(n-1),,
Table de code 5.2 – Définition de la fonction des coordonnées matricielles,12-191,,,En réserve,,
Table de code 5.2 – Définition de la fonction des coordonnées matricielles,192-254,,,En réserve pour un usage local,,
Table de code 5.2 – Définition de la fonction des coordonnées matricielles,255,,,Valeur manquante,,
Table de code 5.3 – Paramètre des coordonnées matricielles,1,,,Direction en degrés vrais,,
Table de code 5.3 – Paramètre des coordonnées matricielles,2,,,Fréquence (s-1),,
Table de code 5.3 – Paramètre des coordonnées matricielles,3,,,Nombre radial (2π/λ) (m-1),,
Table de code 5.3 – Paramètre des coordonnées matricielles,4-191,,,En réserve,,
Table de code 5.3 – Paramètre des coordonnées matricielles,192-254,,,En réserve pour un usage local,,
Table de code 5.3 – Paramètre des coordonnées matricielles,255,,,Valeur manquante,,
Table de code 5.4 – Méthode de séparation en groupes,0,,,Séparation ligne par ligne,,
Table de code 5.4 – Méthode de séparation en groupes,1,,,Séparation générale en groupes,,
Table de code 5.4 – Méthode de séparation en groupes,2-191,,,En réserve,,
Table de code 5.4 – Méthode de séparation en groupes,192-254,,,En réserve pour un usage local,,
Table de code 5.4 – Méthode de séparation en groupes,255,,,Valeur manquante,,
Table de code 5.5 – Traitement des valeurs manquantes en compression complexe,0,,,Absence de valeurs manquantes explicites dans les données,,
Table de code 5.5 – Traitement des valeurs manquantes en compression complexe,1,,,Présence de valeurs manquantes primaires dans les données,,
Table de code 5.5 – Traitement des valeurs manquantes en compression complexe,2,,,Présence de valeurs manquantes primaires et secondaires dans les données,,
Table de code 5.5 – Traitement des valeurs manquantes en compression complexe,3-191,,,En réserve,,
Table de code 5.5 – Traitement des valeurs manquantes en compression complexe,192-254,,,En réserve pour un usage local,,
Table de code 5.5 – Traitement des valeurs manquantes en compression complexe,255,,,Valeur manquante,,
Table de code 5.6 – Ordre de la différenciation spatiale,0,,,En réserve,,
Table de code 5.6 – Ordre de la différenciation spatiale,1,,,Différenciation spatiale de premier ordre,,
Table de code 5.6 – Ordre de la différenciation spatiale,2,,,Différenciation spatiale de deuxième ordre,,
Table de code 5.6 – Ordre de la différenciation spatiale,3-191,,,En réserve,,
Table de code 5.6 – Ordre de la différenciation spatiale,192-254,,,En réserve pour un usage local,,
Table de code 5.6 – Ordre de la différenciation spatiale,255,,,Valeur manquante,,
Table de code 5.7 – Précision des nombres en virgule flottante,0,,,En réserve,,
Table de code 5.7 – Précision des nombres en virgule flottante,1,,,IEEE 32 bits (I=4 dans la Section 7),,
Table de code 5.7 – Précision des nombres en virgule flottante,2,,,IEEE 64 bits (I=8 dans la Section 7),,
Table de code 5.7 – Précision des nombres en virgule flottante,3,,,IEEE 128 bits (I=16 dans la Section 7),,
Table de code 5.7 – Précision des nombres en virgule flottante,4-254,,,En réserve,,
Table de code 5.7 – Précision des nombres en virgule flottante,255,,,Valeur manquante,,
Table de code 5.25 – Type de sous-troncature avec transformée de Fourier 2D,0-76,,,En réserve,,
Table de code 5.25 – Type de sous-troncature avec transformée de Fourier 2D,77,,,Rectangulaire,,
Table de code 5.25 – Type de sous-troncature avec transformée de Fourier 2D,78-87,,,En réserve,,
Table de code 5.25 – Type de sous-troncature avec transformée de Fourier 2D,88,,,Elliptique,,
Table de code 5.25 – Type de sous-troncature avec transformée de Fourier 2D,89-98,,,En réserve,,
Table de code 5.25 – Type de sous-troncature avec transformée de Fourier 2D,99,,,En losange,,
Table de code 5.25 – Type de sous-troncature avec transformée de Fourier 2D,100-254,,,En réserve,,
Table de code 5.25 – Type de sous-troncature avec transformée de Fourier 2D,255,,,Valeur manquante,,
Table de code 5.26 – Méthode de compression pour les axes,0,,,Les coefficients spectraux des axes sont compressés,,
Table de code 5.26 – Méthode de compression pour les axes,1,,,Les coefficients spectraux des axes sont inclus dans la sous-série décompressée,,
Table de code 5.26 – Méthode de compression pour les axes,2-254,,,En réserve,,
Table de code 5.26 – Méthode de compression pour les axes,255,,,Valeur manquante,,
Table de code 5.40 – Type de compression,0,,,Sans perte,,
Table de code 5.40 – Type de compression,1,,,Avec perte,,
Table de code 5.40 – Type de compression,2-254,,,En réserve,,
Table de code 5.40 – Type de compression,255,,,Valeur manquante,,
